Codigo Dependencia;Dependencia;Tipo de Inversión;CodBPIN;Nombre Proyecto;Comuna;Nombre Comuna;Inversion;Año;Corte
917;Museo Casa de la Memoria;0;160403;IMPLEMENTACIÓN DE PEDAGOGÍAS Y MEMORIAS PARA LA CONSTRUCCIÓN DE PAZ;90;Santa Elena;$742,288;2017;31-Dic-2017
917;Museo Casa de la Memoria;0;160403;IMPLEMENTACIÓN DE PEDAGOGÍAS Y MEMORIAS PARA LA CONSTRUCCIÓN DE PAZ;4;Aranjuez;$13,174,523;2017;31-Dic-2017
917;Museo Casa de la Memoria;0;160403;IMPLEMENTACIÓN DE PEDAGOGÍAS Y MEMORIAS PARA LA CONSTRUCCIÓN DE PAZ;8;Villa Hermosa;$59,585,898;2017;31-Dic-2017
917;Museo Casa de la Memoria;0;160403;IMPLEMENTACIÓN DE PEDAGOGÍAS Y MEMORIAS PARA LA CONSTRUCCIÓN DE PAZ;13;San Javier;$11,408,586;2017;31-Dic-2017
917;Museo Casa de la Memoria;0;160403;IMPLEMENTACIÓN DE PEDAGOGÍAS Y MEMORIAS PARA LA CONSTRUCCIÓN DE PAZ;14;El Poblado;$39,372,390;2017;31-Dic-2017
917;Museo Casa de la Memoria;0;160403;IMPLEMENTACIÓN DE PEDAGOGÍAS Y MEMORIAS PARA LA CONSTRUCCIÓN DE PAZ;15;Guayabal;$7,504,107;2017;31-Dic-2017
917;Museo Casa de la Memoria;0;160403;IMPLEMENTACIÓN DE PEDAGOGÍAS Y MEMORIAS PARA LA CONSTRUCCIÓN DE PAZ;16;Belén;$33,508,918;2017;31-Dic-2017
917;Museo Casa de la Memoria;0;160403;IMPLEMENTACIÓN DE PEDAGOGÍAS Y MEMORIAS PARA LA CONSTRUCCIÓN DE PAZ;50;San Sebastián de Palmitas;$29,533;2017;31-Dic-2017
917;Museo Casa de la Memoria;0;160403;IMPLEMENTACIÓN DE PEDAGOGÍAS Y MEMORIAS PARA LA CONSTRUCCIÓN DE PAZ;60;San Cristobal;$5,475,708;2017;31-Dic-2017
917;Museo Casa de la Memoria;0;160403;IMPLEMENTACIÓN DE PEDAGOGÍAS Y MEMORIAS PARA LA CONSTRUCCIÓN DE PAZ;80;San Antonio de Prado;$4,597,104;2017;31-Dic-2017
917;Museo Casa de la Memoria;0;160403;IMPLEMENTACIÓN DE PEDAGOGÍAS Y MEMORIAS PARA LA CONSTRUCCIÓN DE PAZ;99;Toda la Ciudad;$874,617,028;2017;31-Dic-2017
917;Museo Casa de la Memoria;0;160405;DESARROLLO DE ESTRATEGIAS CIUDADANAS PARA EL POSTACUERDO;99;Toda la Ciudad;$571,231,028;2017;31-Dic-2017
917;Museo Casa de la Memoria;0;160406;FORTALECIMIENTO INSTITUCIONAL DEL MUSEO CASA DE LA MEMORIA;97;Fortalecimiento Institucional;$2,050,496,468;2017;31-Dic-2017
917;Museo Casa de la Memoria;0;160403;IMPLEMENTACIÓN DE PEDAGOGÍAS Y MEMORIAS PARA LA CONSTRUCCIÓN DE PAZ;3;Manrique;$20,189,710;2017;31-Dic-2017
917;Museo Casa de la Memoria;0;160402;CONSTRUCCIÓN PARTICIPATIVA DE MEMORIAS TERRITORIALES;16;Belén;$7,722,101;2017;31-Dic-2017
917;Museo Casa de la Memoria;0;160403;IMPLEMENTACIÓN DE PEDAGOGÍAS Y MEMORIAS PARA LA CONSTRUCCIÓN DE PAZ;70;Altavista;$1,163,463;2017;31-Dic-2017
917;Museo Casa de la Memoria;0;160402;CONSTRUCCIÓN PARTICIPATIVA DE MEMORIAS TERRITORIALES;3;Manrique;$8,440,896;2017;31-Dic-2017
917;Museo Casa de la Memoria;0;160402;CONSTRUCCIÓN PARTICIPATIVA DE MEMORIAS TERRITORIALES;60;San Cristobal;$79,749,542;2017;31-Dic-2017
917;Museo Casa de la Memoria;0;160402;CONSTRUCCIÓN PARTICIPATIVA DE MEMORIAS TERRITORIALES;2;Santa Cruz;$8,038,526;2017;31-Dic-2017
917;Museo Casa de la Memoria;0;160403;IMPLEMENTACIÓN DE PEDAGOGÍAS Y MEMORIAS PARA LA CONSTRUCCIÓN DE PAZ;2;Santa Cruz;$10,385,292;2017;31-Dic-2017
917;Museo Casa de la Memoria;0;160402;CONSTRUCCIÓN PARTICIPATIVA DE MEMORIAS TERRITORIALES;4;Aranjuez;$6,187,616;2017;31-Dic-2017
917;Museo Casa de la Memoria;0;160402;CONSTRUCCIÓN PARTICIPATIVA DE MEMORIAS TERRITORIALES;5;Castilla;$16,266,522;2017;31-Dic-2017
917;Museo Casa de la Memoria;0;160402;CONSTRUCCIÓN PARTICIPATIVA DE MEMORIAS TERRITORIALES;6;Doce de Octubre;$24,304,696;2017;31-Dic-2017
917;Museo Casa de la Memoria;0;160402;CONSTRUCCIÓN PARTICIPATIVA DE MEMORIAS TERRITORIALES;7;Robledo;$8,384,798;2017;31-Dic-2017
917;Museo Casa de la Memoria;0;160402;CONSTRUCCIÓN PARTICIPATIVA DE MEMORIAS TERRITORIALES;8;Villa Hermosa;$36,202,064;2017;31-Dic-2017
917;Museo Casa de la Memoria;0;160402;CONSTRUCCIÓN PARTICIPATIVA DE MEMORIAS TERRITORIALES;9;Buenos Aires;$17,922,680;2017;31-Dic-2017
917;Museo Casa de la Memoria;0;160402;CONSTRUCCIÓN PARTICIPATIVA DE MEMORIAS TERRITORIALES;10;La Candelaria;$90,045,589;2017;31-Dic-2017
917;Museo Casa de la Memoria;0;160402;CONSTRUCCIÓN PARTICIPATIVA DE MEMORIAS TERRITORIALES;99;Toda la Ciudad;$445,810,362;2017;31-Dic-2017
917;Museo Casa de la Memoria;0;160402;CONSTRUCCIÓN PARTICIPATIVA DE MEMORIAS TERRITORIALES;1;Popular;$17,300,419;2017;31-Dic-2017
917;Museo Casa de la Memoria;0;160402;CONSTRUCCIÓN PARTICIPATIVA DE MEMORIAS TERRITORIALES;11;Laureles - Estadio;$46,867,327;2017;31-Dic-2017
917;Museo Casa de la Memoria;0;160403;IMPLEMENTACIÓN DE PEDAGOGÍAS Y MEMORIAS PARA LA CONSTRUCCIÓN DE PAZ;1;Popular;$8,637,475;2017;31-Dic-2017
917;Museo Casa de la Memoria;0;160402;CONSTRUCCIÓN PARTICIPATIVA DE MEMORIAS TERRITORIALES;90;Santa Elena;$3,637,977;2017;31-Dic-2017
917;Museo Casa de la Memoria;0;160402;CONSTRUCCIÓN PARTICIPATIVA DE MEMORIAS TERRITORIALES;80;San Antonio de Prado;$1,625,712;2017;31-Dic-2017
917;Museo Casa de la Memoria;0;160402;CONSTRUCCIÓN PARTICIPATIVA DE MEMORIAS TERRITORIALES;70;Altavista;$1,625,712;2017;31-Dic-2017
917;Museo Casa de la Memoria;0;160402;CONSTRUCCIÓN PARTICIPATIVA DE MEMORIAS TERRITORIALES;50;San Sebastián de Palmitas;$1,404,762;2017;31-Dic-2017
917;Museo Casa de la Memoria;0;160402;CONSTRUCCIÓN PARTICIPATIVA DE MEMORIAS TERRITORIALES;15;Guayabal;$5,894,907;2017;31-Dic-2017
917;Museo Casa de la Memoria;0;160402;CONSTRUCCIÓN PARTICIPATIVA DE MEMORIAS TERRITORIALES;14;El Poblado;$9,035,790;2017;31-Dic-2017
917;Museo Casa de la Memoria;0;160402;CONSTRUCCIÓN PARTICIPATIVA DE MEMORIAS TERRITORIALES;13;San Javier;$21,838,455;2017;31-Dic-2017
